,ETER ID,English Institution Name,Reference year,Total academic personnel (FTE),Total academic personnel (HC),Total students enrolled ISCED 5-7,Total graduates ISCED 5-7,Total students enrolled at ISCED 8,Total graduates at ISCED 8,scopus_authors,number_articles,total_eter,state
122,IT0056,University for Foreigners Perugia,2018,0,84,1137,267,27,3,38.0,60.0,1434,Perugia
123,IT0057,Scuola Normale Superiore,2018,0,103,0,0,281,52,2707.0,7502.0,333,Pisa
124,IT0059,University of Pisa,2018,0,2628,46523,8626,761,213,20444.0,65732.0,56123,Pisa
125,IT0060,University of the Basilicata,2018,0,432,6461,982,126,39,1920.0,6207.0,7608,Potenza
126,IT0061,Università Mediterranea of Reggio Calabria,2018,0,343,5033,1001,128,28,1275.0,3242.0,6190,Reggio Di Calabria
127,IT0063,Roma Tre University,2018,0,1234,32024,6635,498,6,2742.0,7432.0,39163,Roma
128,IT0065,LUISS Guido Carli,2018,0,1537,10725,3620,89,26,442.0,840.0,14460,Roma
129,IT0066,Free University Maria SS. Assunta (LUMSA),2018,0,375,6695,2061,50,9,179.0,357.0,8815,Roma
130,IT0067,Campus Bio-Medico University,2018,0,199,2331,511,68,16,1557.0,3657.0,2926,Roma
131,IT0068,Sapienza University of Rome,2018,0,3776,107438,21362,2986,947,40141.0,108099.0,132733,Roma
132,IT0069,"University of Rome ""Foro Italico""",2018,0,75,2139,493,29,10,340.0,1040.0,2671,Roma
133,IT0070,University of Rome Tor Vergata,2018,0,1856,30485,7419,1033,373,10155.0,27953.0,39310,Roma
134,IT0072,Marconi University,2018,0,211,10631,1823,92,6,87.0,180.0,12552,Roma
135,IT0075,International Online University UNINETTUNO,2018,0,395,13769,666,5,0,54.0,117.0,14440,Roma
136,IT0077,University of Salerno,2018,0,1166,35975,5552,499,145,4346.0,14603.0,42171,Salerno
137,IT0078,University of Sassari,2018,0,716,14025,2369,208,71,6637.0,18999.0,16673,Sassari
138,IT0079,University of Siena,2018,0,1274,17050,3573,419,95,9885.0,31359.0,21137,Siena
139,IT0081,University of Teramo,2018,0,373,5767,1057,157,53,612.0,1968.0,7034,Teramo
140,IT0082,Politecnico di Torino,2018,0,1090,32837,7384,722,205,7100.0,21378.0,41148,Torino
141,IT0083,University of Turin,2018,0,2624,76419,14651,917,274,24630.0,76952.0,92261,Torino
142,IT0085,University of Trento,2018,0,808,16736,3815,638,194,5724.0,15330.0,21383,Trento
143,IT0086,International School for Advanced Studies (SISSA),2018,0,112,0,0,320,76,2862.0,7321.0,396,Trieste
144,IT0087,University of Trieste,2018,0,960,16005,3183,318,112,10863.0,32357.0,19618,Trieste
145,IT0088,University of Udine,2018,0,988,15458,3232,252,74,4910.0,14221.0,19016,Udine
146,IT0089,University of Urbino Carlo Bo,2018,0,620,14504,2893,114,35,1577.0,5625.0,17546,Pesaro E Urbino
147,IT0091,Ca’ Foscari University of Venice,2018,0,810,21737,5991,311,96,1856.0,5143.0,28135,Venezia
148,IT0092,University IUAV of Venice,2018,0,323,4171,1438,128,45,333.0,714.0,5782,Venezia
149,IT0093,"University of Piemonte Orientale ""Amedeo Avogadro""",2018,0,515,13260,2233,117,37,2421.0,6630.0,15647,Vercelli
150,IT0094,University of Verona,2018,0,1355,24740,5585,368,105,9383.0,25819.0,30798,Verona
151,IT0095,University of Tuscia,2018,0,516,7798,1640,155,52,1849.0,5896.0,9645,Viterbo
152,IT0244,Link Campus University,2018,0,185,2087,735,0,0,30.0,42.0,2822,Roma
153,IT0248,Humanitas University,2018,0,127,1190,23,38,0,216.0,306.0,1251,Pieve Emanuele
154,IT0249,Gran Sasso Science Institute,2018,0,29,0,0,113,0,188.0,320.0,113,L'Aquila
155,VA0001,Pontifical University Antonianum,2018,0,0,0,0,0,0,6.0,13.0,0,Roma
156,VA0002,Pontifical University of the Holy Cross,2018,0,0,0,0,0,0,58.0,68.0,0,Roma
157,VA0003,Pontifical Gregorian University,2018,0,0,0,0,0,0,123.0,166.0,0,Roma
158,VA0009,Pontifical Biblical Institute,2018,0,0,0,0,0,0,25.0,41.0,0,Roma
159,VA0011,Salesian Pontifical University,2018,0,0,0,0,0,0,34.0,40.0,0,Roma
160,CY0001,University of Cyprus,2017,374,386,6271,1458,661,68,23.0,23.0,8832,Enna
161,IT0001,Marche Polytechnic University,2017,0,692,15972,3243,354,132,5232.0,15671.0,19701,Ancona
162,IT0002,Università della Valle d’Aosta,2017,0,109,1051,257,0,0,47.0,87.0,1308,Aosta
163,IT0003,University of Calabria,2017,0,970,26193,4750,278,150,3870.0,14020.0,31371,Cosenza
164,IT0004,Polytechnic of Bari,2017,0,402,9792,1956,141,29,1575.0,5017.0,11918,Bari
165,IT0005,University of Bari Aldo Moro,2017,0,1666,45016,8028,477,125,13327.0,41558.0,53646,Bari
166,IT0006,University of Sannio,2017,0,259,4839,863,90,23,675.0,2198.0,5815,Benevento
167,IT0008,University of Bergamo,2017,0,590,18299,3310,193,63,686.0,1910.0,21865,Bergamo
